stars,comment
5.0 out of 5 stars,"It's a nice phone but sometimes Finger Sensor doesn't work as per expectations
            "
1.0 out of 5 stars,"One of the worst reason is price crash in just a week after my purchase
            "
5.0 out of 5 stars,"Phone is a good deal for money. Display is great. Touch is also superb.They can work on the fingerprint recognition.
            "
5.0 out of 5 stars,"I liked the performance over all..but disatisfied with the price decrease.I lost rs3000. As you discounted over in a week.
            "
5.0 out of 5 stars,"Excellent
            "
5.0 out of 5 stars,"I got this phone on Friday evening.Pros:Great battery lifeAmazing performancePremium designImpressive rear and front cameraIn display fingerprint scanner is really fastCons:No headphone jack but you'll get a converterNo notification LEDNo microSD card slotI will give points on my personal experience of 2 days full usage as below:Weight: 9/10OS: 10/10Screen size: 10/10CPU: 10/10Performance: 10/10Storage: 10/10 (you'll get approx 113 gb for use)Battery: 8/10Rear camera: 10/10Front camera: 10/10In display fingerprint scanner: 9/10Face unlock: 10/10
            "
5.0 out of 5 stars,"Amazing phone
            "
3.0 out of 5 stars,"My screen lock security is not working properly???What should i doo ??I have tryed all the settings but it seems to be not working
            "
5.0 out of 5 stars,"Love the camera.
            "
4.0 out of 5 stars,"It's totally worth of your money.
            "
5.0 out of 5 stars,"Good condition.
            "
5.0 out of 5 stars,"Phone is weightfull
            "
5.0 out of 5 stars,"Ultimately best
            "
5.0 out of 5 stars,"No name mention to this product.
            "
5.0 out of 5 stars,"I am using this for almost 4 to 5 months and don't face any issue with this phone and now I become the fan of one plus after this phone
            "
5.0 out of 5 stars,"Excellent
            "
1.0 out of 5 stars,"the sound quality of the product is very poor and damaged product was given
            "
5.0 out of 5 stars,"Nice phone 👍
            "
5.0 out of 5 stars,"I like the processor. It's amazing.
            "
3.0 out of 5 stars,"After 25 day use of this phone I  have faceing a  problem with camera ,during video recording camera get sudden off and also videos not save. It is in expected thing with one plus 6T device 😡
            "
5.0 out of 5 stars,"🤩
            "
5.0 out of 5 stars,"Awesome
            "
5.0 out of 5 stars,"This is amazing i like
            "
4.0 out of 5 stars,"I bought one plus 6T on 29/03/2019 but after 14 days My phone right and left keys r not working how can I fix this I want Clam warranty
            "
5.0 out of 5 stars,"Every thing is good, except finger print scanner..there is lill lag in scanning finger print.Over all satisfied
            "
5.0 out of 5 stars,"Awesome..just the fingerprint sensor is a bit slow
            "
5.0 out of 5 stars,"Design - 9Display - 9Software - 10Performance - 10Battery Life - 9Camera - 9
            "
4.0 out of 5 stars,"Phone is so smooth but there is big issue with my OnePlue6T it getting heated while playing games and while charging Even my battery drain so fast.Seriously not satisfied due to this issue I'm facing.Please do needful.
            "
1.0 out of 5 stars,"Not up to the mark
            "
5.0 out of 5 stars,"Loved this product than iPhone!Performance unbeatableDrawback : little heavy to carry
            "
5.0 out of 5 stars,"review ui is very bad.validation is worst.please look into ur ui for reviews.its timewaste process for the users.hate it alot
            "
5.0 out of 5 stars,"Pros:Battery, Fast Charging.RAM : I play PUBG 5 to 6 hours continuously and it is giving high performance.Camera: Its decent  , same as OnePlus 6.Cons:A bit heavier than other mobile phones.No 3.5 mm jack
            "
1.0 out of 5 stars,"Please do not waste your money on this phone its not worth for money at all. Better to go for low cost devices .
            "
5.0 out of 5 stars,"Have been using this product for three months now.. Phone is fast as hell..Fingerprint seems to be slow sometimes but that's ok as the face recognition works absolutely fine..
            "
1.0 out of 5 stars,"Not at all recommended.. I have baught this phone 2 months ago and from beginning only camera crashes.. whenever I try to capture pic in portrait mode phone crashes down. And every settings get changed to default.
            "
5.0 out of 5 stars,"Overall awesome beast in hands!!
            "
5.0 out of 5 stars,"WAS RECOMMENDED
            "
5.0 out of 5 stars,"Face recognition, battery backup, camera work great. Touch is as smooth as butter.
            "
5.0 out of 5 stars,"This phone ..I loved it most... Incredible design ...very fast processor ....all in one 👍👍👌👌👌
            "
5.0 out of 5 stars,"My 1st OnePlus Product.... Awesome loved...
            "
4.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Ultimate... No other mobile is comparable to this masterpiece by one+. Value for money. Love it guys.... Superb product.. good
            "
5.0 out of 5 stars,"Infinity
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Quality Phone
            "
5.0 out of 5 stars,"Everything was perfect but and connect wire for the earphones are missing though the box description says it is inside.
            "
4.0 out of 5 stars,"The phone one plus 6t is.  water proof and bust proof??? Or something else I want to know thats why
            "
2.0 out of 5 stars," I received the phone today. I started the phone and booted the phone. I registered only one fingerprint on the phone. i.e. My left thumb. While I was showing the phone to my colleagues, one of my friend's right thumb was able to open the phone even though the said thumb is not registered. Shocked to see this. One plus needs to look into this security issue. I have not written a detailed review.
            "
4.0 out of 5 stars,"Great product. The dewdrop design is superb. The fingerprint and face unlock work great but the face unlock gets tiresome at times. Sometimes it unlocks when you don't want it to.But otherwise no issues.
            "
5.0 out of 5 stars,"Excellent
            "
5.0 out of 5 stars,"Not many things to dislike but i am having a great time using it
            "
5.0 out of 5 stars,"Its an worthy upgrade from any mid range phone. Everything is good apart form the In-Display fingerprint sensor. The fingerprint sensor can be improved as it miss to recognize quite a few times.
            "
4.0 out of 5 stars,"Amazing phone in the current market. All features are good and it is amazing
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Software and google security update as i didnt received update of os from past 3 months
            "
2.0 out of 5 stars,"Only one out of two bottom speakers works
            "
