stars,comment
5.0 out of 5 stars,Very good smart phone in this range.
5.0 out of 5 stars,"Incredibly fast and responive , ram management is awesome , honestly don't hesitate just go for this phone . Very happy 😀"
5.0 out of 5 stars,Great phone with good specifications.
5.0 out of 5 stars,"I got delivery within one day.overall performance like face recognition, camera quality is good. Speed of phone is ausm...i love it"
1.0 out of 5 stars,"Worst experience ever.. I didn't expect this from oneplus one which calls itself as flagship killer.. the first phone which I bought had excessive heating issues on usage of camera; I got it replaced as after verification it was confirmed that the phone is defective.. now the 2nd phone which I got as a replacement is also have heating issues.. but this time while phone is in charge.. I called CS again and explained about my issues.. after downloading blancco diagnostic app it was confirmed that the phone heata up when in charge.. on normal usage the temperature of this is around 34-35 degree C, but when in charge it will be increased to 41-42 degree.. but the technician who was on call for support argued with me that 42 degree C is normal temperature for any phone.. excuse me oneplus and amazon, I didn't pay money for a phone which heats up when in charge.. this is not some dabba phone.. this is one plus sir.. m extremely disappointed with performance as well.. this phone hangs up on excessive usage of camera.. 4k camera zoom doesn't work all time and if I try to do it automatically exit from camera and go to home page(surprisingly it changed my wallpaper as well).. not happy with the performance of this phone.. paid 38k and bought it through EMI with a hope that I'll get a good phone.. but the scene is different here and even amazon can't help it even after verification.. m writing this big review here with a home of getting any response from the merchant.. I agree everyone is not facing this issue but not all oneplus 6T is perfect.. I m very unlucky to get 2 defective phones.. I hope amazon will help me out with this: PLEASE TRY TO RESOLVE PROBLES OF CUSTOMER AND DON'T CONVINCE OR CONFUSE THEM☹️🙏"
3.0 out of 5 stars,Worst phone delivered.Getting heated up while initial setup.Only left side speaker is working.Camera is not up to the mark promised.Fingerprint doesn't work always.
5.0 out of 5 stars,Excellent phone
4.0 out of 5 stars,"I have used Samsung S6edge earlier, the photos of OnePlus 6T is no match without in low lights.... Other features are very good"
5.0 out of 5 stars,Amazing phone
5.0 out of 5 stars,Excellent Product. Real value for money.
5.0 out of 5 stars,No name mention to this product.
5.0 out of 5 stars,I am using this for almost 4 to 5 months and don't face any issue with this phone and now I become the fan of one plus after this phone
5.0 out of 5 stars,Excellent
5.0 out of 5 stars,Never compromised
4.0 out of 5 stars,"Obivously the Oneplus 6T is an amazing phone and the FREE next day delivery just made my Day. But The ANNOYING part is I ordered a MIDNIGHT BLACK variant but got a THUNDER PURPLE variant. I do accept that I like thunder purple but Midnight black is what I preferred. and the package details also mention it as Midnight black. I didn't want to return the product as it is a time taking process. Anyways not denying the fact that it is an AMAZING PHONE, AMAZON should Double check the product details before delivery."
5.0 out of 5 stars,"Bulky charger, No earphone supplied."
1.0 out of 5 stars,Hopeless phone.. hangs a lot
5.0 out of 5 stars,Superb
5.0 out of 5 stars,Love the one plus always a fan!!
1.0 out of 5 stars,Msst Phn dia hey amazone app nd camera is very fast nd finger print in very past nd face is very fast
5.0 out of 5 stars,I have just upgraded op5 to op6t. Bigger better and faster. Truly flagship killer. Just finger print reader not working well. Other wise it is beast. M happy to have upgraded version.
5.0 out of 5 stars,Nice
1.0 out of 5 stars,the sound quality of the product is very poor and damaged product was given
5.0 out of 5 stars,Nice phone 👍
5.0 out of 5 stars,"Nice product , must buy this . the audio and video quaity is far better than any other phone within this range"
4.0 out of 5 stars,Expectations were high big disappointment. Video quality very very bad. Slow motion always shows bad light. At night camera useless. Fingerprint sensor one of the slowest. Battery drains fast.
5.0 out of 5 stars,Worth for the money. No doubt
5.0 out of 5 stars,I'm 100% satisfied
5.0 out of 5 stars,Excellent
5.0 out of 5 stars,Face recognition is awesome on this cellphone but when time to unlock with fingerprint it's take little bit time n not easily unlocked it
5.0 out of 5 stars,I like the processor. It's amazing.
5.0 out of 5 stars,Nice
4.0 out of 5 stars,Other than finger reader. All are excellent loved it
3.0 out of 5 stars,Voice problem
5.0 out of 5 stars,"Bhut bdiya phon hey,, at a low price, i am wating for one plus7.... thanks amazon"
5.0 out of 5 stars,Good phone phone
5.0 out of 5 stars,Loved this product than iPhone!Performance unbeatableDrawback : little heavy to carry
4.0 out of 5 stars,Good
5.0 out of 5 stars,Ultimate... No other mobile is comparable to this masterpiece by one+. Value for money. Love it guys.... Superb product.. good
5.0 out of 5 stars,Infinity
5.0 out of 5 stars,review ui is very bad.validation is worst.please look into ur ui for reviews.its timewaste process for the users.hate it alot
5.0 out of 5 stars,Good
5.0 out of 5 stars,Everything was perfect but and connect wire for the earphones are missing though the box description says it is inside.
4.0 out of 5 stars,The phone one plus 6t is.  water proof and bust proof??? Or something else I want to know thats why
2.0 out of 5 stars,"I received the phone today. I started the phone and booted the phone. I registered only one fingerprint on the phone. i.e. My left thumb. While I was showing the phone to my colleagues, one of my friend's right thumb was able to open the phone even though the said thumb is not registered. Shocked to see this. One plus needs to look into this security issue. I have not written a detailed review."
5.0 out of 5 stars,Quality Phone
4.0 out of 5 stars,"Face recognition is super fast, fingerprint reader is ok not that quick if compare to capacitive fingerprint reader it takes noticeable time. And Camera is good with decent image stabilization."
5.0 out of 5 stars,Always number one
5.0 out of 5 stars,Nice.
5.0 out of 5 stars,Good phone
5.0 out of 5 stars,Good
5.0 out of 5 stars,Very good product
5.0 out of 5 stars,Super
5.0 out of 5 stars,No headphone jack
5.0 out of 5 stars,Great phone
4.0 out of 5 stars,Good
5.0 out of 5 stars,"Pros:Battery, Fast Charging.RAM : I play PUBG 5 to 6 hours continuously and it is giving high performance.Camera: Its decent  , same as OnePlus 6.Cons:A bit heavier than other mobile phones.No 3.5 mm jack"
4.0 out of 5 stars,Great product. The dewdrop design is superb. The fingerprint and face unlock work great but the face unlock gets tiresome at times. Sometimes it unlocks when you don't want it to.But otherwise no issues.
5.0 out of 5 stars,Excellent
5.0 out of 5 stars,Not many things to dislike but i am having a great time using it
4.0 out of 5 stars,Bought this bloody phone for 38000 on Sunday and it goes on offer the next Thurday.. So had to pay 4500 more... Dissatisfied..
5.0 out of 5 stars,"It's awesome,I know it's little costly but value for money product"
3.0 out of 5 stars,Something better othes All brand
5.0 out of 5 stars,Just loved it I mean can't find any fault superb device very happy with the purchase
4.0 out of 5 stars,I love this product...It's was amazing to use. Great battery life.. And perfect camera.
5.0 out of 5 stars,Best product ever.
